=== test_sub1  (test_acc=41.73%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
   26      0.0623     99.98%    0.5936    81.75%
   27      0.0611    100.00%    0.6919    79.14%
   28      0.0613     99.97%    1.2785    73.29%
   29      0.0606     99.99%    0.8582    76.30%
   30      0.0600     99.99%    0.9551    75.22%
   31      0.0598     99.99%    0.8754    77.29%
   32      0.0597    100.00%    0.7996    78.37%
   33      0.0595    100.00%    0.7292    79.27%
   34      0.0590    100.00%    0.6542    80.06%
   35      0.0586    100.00%    0.8287    77.65%
   36      0.0584     99.99%    0.6693    79.14%
   37      0.0577    100.00%    0.8002    77.11%
   38      0.0580     99.99%    0.9529    75.59%
   39      0.0579     99.99%    0.7760    77.65%
   40      0.0573    100.00%    0.7458    78.13%
   41      0.0574    100.00%    0.7348    78.64%
   42      0.0576    100.00%    0.6283    79.46%
   43      0.0570     99.99%    0.7544    76.91%
   44      0.0568    100.00%    0.6746    78.98%
   45      0.0567    100.00%    0.6920    78.89%
   46      0.0570    100.00%    0.7035    78.71%
   47      0.0569    100.00%    0.6985    78.80%
   48      0.0567    100.00%    0.6600    79.50%
   49      0.0568    100.00%    0.6594    79.34%
   50      0.0566    100.00%    0.6980    78.08%

=== test_sub11  (test_acc=82.54%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.5140     82.64%    0.2144    92.19%
    2      0.2045     95.42%    0.0892    97.66%
    3      0.1422     97.67%    0.0610    98.45%
    4      0.1164     98.58%    0.0634    97.75%
    5      0.1029     98.89%    0.0480    98.43%
    6      0.0914     99.30%    0.0414    98.79%
    7      0.0929     99.24%    0.0597    97.59%
    8      0.0861     99.52%    0.0713    97.35%
    9      0.0882     99.28%    0.0527    98.16%
   10      0.0839     99.42%    0.0307    99.01%
   11      0.0772     99.72%    0.0400    98.92%
   12      0.0783     99.68%    0.0405    98.33%
   13      0.0731     99.79%    0.0397    98.52%
   14      0.0751     99.71%    0.0380    98.76%
   15      0.0788     99.60%    0.0259    99.15%
   16      0.0739     99.74%    0.0116    99.87%
   17      0.0678     99.95%    0.0059   100.00%
   18      0.0696     99.86%    0.0372    98.22%
   19      0.0668     99.96%    0.0227    99.35%
   20      0.0667     99.91%    0.0252    99.10%
   21      0.0679     99.87%    0.0424    98.02%
   22      0.0650     99.95%    0.0274    99.19%
   23      0.0639     99.98%    0.0172    99.73%
   24      0.0648     99.93%    0.0196    99.53%
   25      0.0631     99.97%    0.0152    99.73%
   26      0.0627     99.96%    0.0232    99.39%
   27      0.0619     99.99%    0.0170    99.53%
   28      0.0620     99.97%    0.0138    99.69%
   29      0.0613     99.98%    0.0142    99.73%
   30      0.0606     99.99%    0.0100    99.78%
   31      0.0622     99.91%    0.0118    99.96%
   32      0.0611     99.94%    0.0289    99.28%
   33      0.0603     99.99%    0.0192    99.75%
   34      0.0594     99.98%    0.0198    99.69%
   35      0.0597     99.96%    0.0175    99.60%
   36      0.0590     99.98%    0.0229    99.55%
   37      0.0586     99.99%    0.0197    99.69%
   38      0.0583    100.00%    0.0173    99.78%
   39      0.0581    100.00%    0.0116    99.93%
   40      0.0579    100.00%    0.0177    99.77%
   41      0.0580    100.00%    0.0113    99.98%
   42      0.0577    100.00%    0.0112    99.95%
   43      0.0573     99.99%    0.0141    99.95%
   44      0.0569    100.00%    0.0171    99.78%
   45      0.0570    100.00%    0.0180    99.86%
   46      0.0576    100.00%    0.0145    99.87%
   47      0.0577     99.99%    0.0109    99.93%
   48      0.0571    100.00%    0.0168    99.82%
   49      0.0572    100.00%    0.0127    99.95%
   50      0.0575     99.98%    0.0124    99.95%

=== test_sub12  (test_acc=48.10%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.4900     83.72%    0.2435    90.98%
    2      0.1900     96.25%    0.1791    93.30%
    3      0.1272     98.30%    0.1781    91.81%
    4      0.1060     98.92%    0.1147    95.66%
    5      0.0960     99.20%    0.1724    93.70%
    6      0.0909     99.28%    0.1218    94.78%
    7      0.0845     99.58%    0.0688    97.35%
    8      0.0888     99.35%    0.0770    96.85%
    9      0.0849     99.44%    0.0942    96.38%
   10      0.0785     99.68%    0.1544    94.19%
   11      0.0767     99.70%    0.1263    95.05%
   12      0.0796     99.61%    0.1131    95.66%
   13      0.0724     99.82%    0.2097    92.57%
   14      0.0698     99.91%    0.1315    94.46%
   15      0.0701     99.88%    0.1256    95.09%
   16      0.0744     99.68%    0.1372    94.15%
   17      0.0822     99.44%    0.1846    92.19%
   18      0.0703     99.82%    0.1062    95.97%
   19      0.0676     99.91%    0.2132    91.77%
   20      0.0666     99.93%    0.0911    96.60%
   21      0.0660     99.92%    0.0698    97.30%
   22      0.0668     99.88%    0.1453    94.44%
   23      0.0651     99.91%    0.1090    95.81%
   24      0.0641     99.95%    0.2184    91.50%
